GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US02047,02047,ZCTA5 02047,24349,18906
8600000US02048,02048,ZCTA5 02048,44193,2950
8600000US02050,02050,ZCTA5 02050,40594,2468
8600000US02052,02052,ZCTA5 02052,66968,5839
8600000US02053,02053,ZCTA5 02053,46878,3601
8600000US02054,02054,ZCTA5 02054,43859,4356
8600000US02056,02056,ZCTA5 02056,43479,4344
8600000US02061,02061,ZCTA5 02061,52592,4568
8600000US02062,02062,ZCTA5 02062,41517,2268
8600000US02066,02066,ZCTA5 02066,51277,2883
8600000US02067,02067,ZCTA5 02067,59180,4862
8600000US02071,02071,ZCTA5 02071,29221,6722
8600000US02072,02072,ZCTA5 02072,34191,1438
8600000US02081,02081,ZCTA5 02081,47195,3240
8600000US02090,02090,ZCTA5 02090,66648,4987
8600000US02093,02093,ZCTA5 02093,44484,2521
8600000US02108,02108,ZCTA5 02108,93015,20067
8600000US02109,02109,ZCTA5 02109,90980,16018
8600000US02110,02110,ZCTA5 02110,154698,48482
8600000US02111,02111,ZCTA5 02111,49479,12880
8600000US02113,02113,ZCTA5 02113,64452,5389
8600000US02114,02114,ZCTA5 02114,74971,7774
8600000US02115,02115,ZCTA5 02115,24497,1865
8600000US02116,02116,ZCTA5 02116,90004,5685
8600000US02118,02118,ZCTA5 02118,55184,4350
8600000US02119,02119,ZCTA5 02119,21110,1550
8600000US02120,02120,ZCTA5 02120,17550,1649
8600000US02121,02121,ZCTA5 02121,16834,1312
8600000US02122,02122,ZCTA5 02122,26093,2180
8600000US02124,02124,ZCTA5 02124,25768,1220
8600000US02125,02125,ZCTA5 02125,26145,1440
8600000US02126,02126,ZCTA5 02126,22365,1406
8600000US02127,02127,ZCTA5 02127,51103,2234
8600000US02128,02128,ZCTA5 02128,25582,1013
8600000US02129,02129,ZCTA5 02129,61545,3662
8600000US02130,02130,ZCTA5 02130,43418,1803
8600000US02131,02131,ZCTA5 02131,35153,1288
8600000US02132,02132,ZCTA5 02132,46057,2060
8600000US02134,02134,ZCTA5 02134,31655,3086
8600000US02135,02135,ZCTA5 02135,35324,1626
8600000US02136,02136,ZCTA5 02136,28395,1668
8600000US02138,02138,ZCTA5 02138,51614,3454
8600000US02139,02139,ZCTA5 02139,46966,2872
8600000US02140,02140,ZCTA5 02140,52962,4365
8600000US02141,02141,ZCTA5 02141,45651,3009
8600000US02142,02142,ZCTA5 02142,76414,15091
8600000US02143,02143,ZCTA5 02143,41141,2125
8600000US02144,02144,ZCTA5 02144,50567,2502
8600000US02145,02145,ZCTA5 02145,32566,1867
8600000US02148,02148,ZCTA5 02148,28718,1130
8600000US02149,02149,ZCTA5 02149,23608,1397
8600000US02150,02150,ZCTA5 02150,22368,1121
8600000US02151,02151,ZCTA5 02151,26785,1139
8600000US02152,02152,ZCTA5 02152,38436,3148
8600000US02155,02155,ZCTA5 02155,38060,1732
8600000US02163,02163,ZCTA5 02163,32386,11415
8600000US02169,02169,ZCTA5 02169,35151,1437
8600000US02170,02170,ZCTA5 02170,35669,2144
8600000US02171,02171,ZCTA5 02171,37041,2127
8600000US02176,02176,ZCTA5 02176,46307,2602
8600000US02180,02180,ZCTA5 02180,42353,1834
8600000US02184,02184,ZCTA5 02184,38345,1783
8600000US02186,02186,ZCTA5 02186,50964,2628
8600000US02188,02188,ZCTA5 02188,38148,2301
8600000US02189,02189,ZCTA5 02189,31718,3442
8600000US02190,02190,ZCTA5 02190,38267,2034
8600000US02191,02191,ZCTA5 02191,36357,2146
8600000US02199,02199,ZCTA5 02199,107919,24522
8600000US02203,02203,ZCTA5 02203,-,**
8600000US02210,02210,ZCTA5 02210,112174,14746
8600000US02215,02215,ZCTA5 02215,23866,3433
8600000US02301,02301,ZCTA5 02301,22328,992
8600000US02302,02302,ZCTA5 02302,24277,1084
8600000US02322,02322,ZCTA5 02322,31929,2847
